"Filename
",Raag,Artist,Instrument,Tonic Frequency
Pittu_Jaunpuri.wav,Jaunpuri,Prattyush Banerjee,Sarod,262
Pittu_KRAsaveri.wav,Komal_Rishabh_Asaveri,Prattyush Banerjee,Sarod,262
Pittu_KaushiBhairavi.wav,Kaushi_Bhairavi,Prattyush Banerjee,Sarod,262
Pittu_KaushiKanhra.wav,Kaushi_Kanhra,Prattyush Banerjee,Sarod,262
Pittu_Kedar.wav,Kedar,Prattyush Banerjee,Sarod,262
Pittu_Khamaj.wav,Khamaj,Prattyush Banerjee,Sarod,262
Pittu_Malkauns.wav,Malkauns,Prattyush Banerjee,Sarod,262
Pittu_MaruBihag.wav,Maru_Bihag,Prattyush Banerjee,Sarod,262
Pittu_Rageshri_Alap4.wav,Rageshri,Prattyush Banerjee,Sarod,247
Pittu_Rageshri_Gat3.wav,Rageshri,Prattyush Banerjee,Sarod,247
Pittu_Shree.wav,Shree,Prattyush Banerjee,Sarod,262
Pittu_TilakKamod.wav,Tilak_Kamod,Prattyush Banerjee,Sarod,262
Pittu_Yaman_Alap3.wav,Yaman,Prattyush Banerjee,Sarod,247
Sugato_Bageshri_Alap6.wav,Bageshri,Sugato Nag,Sitar,294
Sugato_Bageshri_Gat6.wav,Bageshri,Sugato Nag,Sitar,294
Sugato_Bhairavi_Alap8.wav,Bhairav,Sugato Nag,Sitar,294
Sugato_Bhairavi_Gat8.wav,Bhairav,Sugato Nag,Sitar,294
Sugato_Bihag_Alap1.wav,Bihag,Sugato Nag,Sitar,294
Sugato_Bihag_Gat1.wav,Bihag,Sugato Nag,Sitar,294
Sugato_Darbari_Alap7.wav,Darbari,Sugato Nag,Sitar,294
Sugato_Darbari_Gat7.wav,Darbari,Sugato Nag,Sitar,294
Sugato_Desh_Alap5.wav,Desh,Sugato Nag,Sitar,294
Sugato_Desh_Gat5.wav,Desh,Sugato Nag,Sitar,294
Sugato_GaudMalhar_Alap4.wav,Gaud_Malhar,Sugato Nag,Sitar,294
Sugato_GaudMalhar_Gat4.wav,Gaud_Malhar,Sugato Nag,Sitar,294
Sugato_Khamaj_Alap2.wav,Khamaj,Sugato Nag,Sitar,294
Sugato_Khamaj_Gat2.wav,Khamaj,Sugato Nag,Sitar,294
Sugato_Marwa_Alap9.wav,Marwa,Sugato Nag,Sitar,294
Sugato_Marwa_Gat9.wav,Marwa,Sugato Nag,Sitar,294
Sugato_Yaman_Alap3.wav,Yaman,Sugato Nag,Sitar,294
Sugato_Yaman_Gat3.wav,Yaman,Sugato Nag,Sitar,294
fak_Darbari.wav,Darbari,Faiyaz Ali Khan,Voice,280
gmk_Desh.wav,Desh,Ghulam Mustafa Khan,Voice,279
kesarbai_GaudMalhar.wav,Gaud_Malhar,Keserbai Kerkar,Voice,399
kesarbai_Jaijaiwante.wav,Jaijaiwante,Keserbai Kerkar,Voice,376
kesarbai_Khamaj.wav,Khamaj,Keserbai Kerkar,Voice,377
kesarbai_TilakKamod.wav,TilakKamod,Keserbai Kerkar,Voice,374
ksb_Hameer.wav,Hameer,ksb,Voice,318
mogubai_Jaijaiwante.wav,Jaijaiwante,Mogubaii Kuridkar,Voice,228
mogubai_Kedar.wav,Kedar,Mogubaii Kuridkar,Voice,218
prabhaAtre_MaruBihag.wav,Maru_Bihag,Prabha Atre,Voice,235
rk_Desh.wav,Desh,Rashid Khan,Voice,295
sachdev_MaruBihag.wav,Maru_Bihag,G.S. Sachdev,Bansuri,345
sak_Hameer.wav,Hameer,Salamat Ali Khan,Voice,273
